soru,soru_temiz,konu,tavsiye
Ardışık iki tam sayının toplamı 41 ise büyük olan sayı kaçtır?,ardisik iki tam sayinin toplami 41 ise buyuk olan sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 5 fazlasının 3 katı 36 olduğuna göre bu sayı kaçtır?,bir sayinin 5 fazlasinin 3 kati 36 olduguna gore bu sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
a ve b pozitif tam sayılardır. a+b=18 ve a-b=4 ise a kaçtır?,a ve b pozitif tam sayilardir carpi a arti b esittir 18 ve a eksi b esittir 4 ise a kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir doğal sayının yarısı ile üçte birinin toplamı 25 ise bu sayı kaçtır?,bir dogal sayinin yarisi ile ucte birinin toplami 25 ise bu sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"x tek sayı, y çift sayı ise x+y ifadesi hangi tür sayıdır?",x tek sayi y cift sayi ise x arti y ifadesi hangi tur sayidir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
İki basamaklı en küçük doğal sayı ile en büyük rakamın toplamı kaçtır?,i ki basamakli en kucuk dogal sayi ile en buyuk rakamin toplami kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 2 katının 7 eksiği 19 ise bu sayı kaçtır?,bir sayinin 2 katinin 7 eksigi 19 ise bu sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Negatif bir tam sayı ile pozitif bir tam sayının çarpımı için kesin olarak ne söylenebilir?,negatif bir tam sayi ile pozitif bir tam sayinin carpimi icin kesin olarak ne soylenebilir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
0 ile 50 arasındaki 5'in katı olan doğal sayıların sayısı kaçtır?,0 ile 50 arasindaki 5 in kati olan dogal sayilarin sayisi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının mutlak değeri 8 ise bu sayıların toplamı kaçtır?,bir sayinin mutlak degeri 8 ise bu sayilarin toplami kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Ardışık üç tek sayının toplamı 75 ise ortadaki sayı kaçtır?,ardisik uc tek sayinin toplami 75 ise ortadaki sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir çift sayı ile bir tek sayının çarpımı tek midir çift midir?,bir cift sayi ile bir tek sayinin carpimi tek midir cift midir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
En küçük pozitif tam sayı ile en büyük negatif tam sayının toplamı kaçtır?,en kucuk pozitif tam sayi ile en buyuk negatif tam sayinin toplami kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 3 eksiğinin 4 katı 28 ise sayı kaçtır?,bir sayinin 3 eksiginin 4 kati 28 ise sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"x negatif, y pozitif ise x-y ifadesinin işareti hakkında ne söylenebilir?",x negatif y pozitif ise x eksi y ifadesinin isareti hakkinda ne soylenebilir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"İki doğal sayının toplamı 35, farkı 9 ise büyük sayı kaçtır?",i ki dogal sayinin toplami 35 farki 9 ise buyuk sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 6 katı ile 4 katı arasındaki fark 18 ise sayı kaçtır?,bir sayinin 6 kati ile 4 kati arasindaki fark 18 ise sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Ardışık üç doğal sayının toplamı 60 ise en küçük sayı kaçtır?,ardisik uc dogal sayinin toplami 60 ise en kucuk sayi kactir,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
