soru,konu,tavsiye
Ardışık iki tam sayının toplamı 41 ise büyük olan sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 5 fazlasının 3 katı 36 olduğuna göre bu sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
a ve b pozitif tam sayılardır. a+b=18 ve a-b=4 ise a kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir doğal sayının yarısı ile üçte birinin toplamı 25 ise bu sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"x tek sayı, y çift sayı ise x+y ifadesi hangi tür sayıdır?",Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
İki basamaklı en küçük doğal sayı ile en büyük rakamın toplamı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 2 katının 7 eksiği 19 ise bu sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Negatif bir tam sayı ile pozitif bir tam sayının çarpımı için kesin olarak ne söylenebilir?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
0 ile 50 arasındaki 5'in katı olan doğal sayıların sayısı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının mutlak değeri 8 ise bu sayıların toplamı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Ardışık üç tek sayının toplamı 75 ise ortadaki sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir çift sayı ile bir tek sayının çarpımı tek midir çift midir?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
En küçük pozitif tam sayı ile en büyük negatif tam sayının toplamı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 3 eksiğinin 4 katı 28 ise sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"x negatif, y pozitif ise x-y ifadesinin işareti hakkında ne söylenebilir?",Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"İki doğal sayının toplamı 35, farkı 9 ise büyük sayı kaçtır?",Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 6 katı ile 4 katı arasındaki fark 18 ise sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Ardışık üç doğal sayının toplamı 60 ise en küçük sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir tam sayının karesi 49 ise bu tam sayılar nelerdir?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Sıfırın pozitif bir sayıyla çarpımı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
"Bir sayının 10 eksiği, aynı sayının yarısına eşitse sayı kaçtır?",Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Tek sayıların toplamı her zaman tek midir çift midir?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
İki basamaklı en büyük doğal sayı ile iki basamaklı en küçük doğal sayının farkı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayı 4 artırılıp 2'ye bölündüğünde 13 oluyorsa sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Pozitif iki tam sayının toplamı 17 ve çarpımı 72 ise bu sayılar ne olabilir?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının 7 fazlası 21 ise bu sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir sayının üçte biri 12 ise sayının kendisi kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Ardışık iki çift sayının toplamı 54 ise küçük sayı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
Bir tam sayının kendisi ile ters işaretlisinin toplamı kaçtır?,Temel Kavramlar,"Temel kavramlarda sayı türleri, işlem önceliği, tek-çift sayı ve basit denklem kurma konularını tekrar etmelisin."
